recovery_deficit_m,exposed_area_m2,deficit_x_exposed,target
1.16,3.19,3.7,1
3.29,14.18,46.62,1
4.75,17.07,81.1,1
3.53,14.23,50.25,1
0.1,0.5,0.05,0
3.64,13.34,48.56,1
3.65,14.49,52.84,1
0.1,1.2,0.12,0
1.83,5.95,10.9,1
0.62,3.24,2.01,1
0.1,1.22,0.12,0
3.31,11.85,39.27,1
3.69,15.31,56.51,1
4.75,16.9,80.35,0
1.1,3.66,4.01,0
2.51,9.93,24.95,1
0.71,2.02,1.43,0
3.15,12.19,38.42,1
0.82,3.3,2.71,1
4.32,16.27,70.27,0
0.85,3.89,3.31,0
3.57,13.39,47.86,1
3.09,11.94,36.93,1
0.35,2.24,0.78,0
3.36,13.38,44.92,1
3.58,14.25,51.08,0
2.7,9.34,25.22,1
0.1,0.8,0.08,1
3.66,13.21,48.36,1
4.13,14.68,60.67,1
0.95,3.55,3.38,0
4.62,16.83,77.78,1
4.05,16.01,64.77,1
0.62,3.01,1.87,1
3.18,10.55,33.52,1
3.97,14.44,57.39,1
0.7,1.5,1.05,0
3.05,11.22,34.23,1
0.69,2.98,2.05,0
1.76,6.49,11.41,0
0.7,2.18,1.52,1
1.16,5.46,6.36,0
2.12,6.23,13.23,0
2.42,10.2,24.71,1
0.95,3.16,2.99,1
0.1,0.5,0.05,1
1.18,4.08,4.83,1
0.19,1.96,0.38,0
0.44,0.68,0.3,1
1.1,4.19,4.62,0
5.58,21.62,120.66,1
0.8,1.76,1.41,1
3.45,12.37,42.64,1
3.52,13.25,46.63,0
3.98,14.41,57.3,1
1.95,6.77,13.23,0
0.94,3.28,3.07,0
3.82,15.05,57.53,1
3.41,12.7,43.36,1
0.1,1.24,0.12,0
3.42,12.19,41.66,1
0.15,0.5,0.07,0
0.37,2.96,1.11,1
0.1,0.5,0.05,0
0.18,0.5,0.09,0
3.12,10.48,32.75,1
3.53,14.28,50.44,1
0.1,0.5,0.05,0
1.0,3.6,3.61,1
3.24,12.18,39.43,1
0.1,1.19,0.12,0
0.56,1.97,1.1,0
1.54,7.71,11.84,1
0.1,0.5,0.05,1
2.67,11.0,29.38,1
3.94,15.6,61.4,1
3.16,11.99,37.95,1
3.72,13.67,50.84,1
1.19,4.77,5.66,1
0.86,3.66,3.13,0
0.1,0.5,0.05,1
3.55,13.61,48.24,0
1.35,6.13,8.29,1
0.1,2.04,0.2,0
0.1,1.06,0.11,1
1.09,5.63,6.14,0
2.23,7.97,17.76,1
0.1,0.94,0.09,1
1.65,7.33,12.07,1
3.81,13.75,52.37,1
1.0,3.41,3.41,1
4.23,17.47,73.89,1
0.42,0.83,0.35,0
4.38,15.58,68.25,1
1.65,7.48,12.33,0
3.1,12.73,39.46,1
0.1,0.73,0.07,1
0.46,1.7,0.78,1
3.23,11.93,38.55,1
0.1,0.61,0.06,0
0.1,1.64,0.16,1
3.79,14.6,55.35,1
2.72,12.06,32.77,1
1.17,3.75,4.4,1
4.7,17.85,83.96,1
0.5,1.59,0.79,0
4.59,16.58,76.14,1
1.13,4.18,4.72,1
0.76,3.2,2.42,1
3.76,14.7,55.28,1
3.37,14.53,48.89,1
3.59,13.99,50.17,1
1.42,6.33,9.01,0
3.7,14.11,52.21,1
3.2,13.49,43.13,1
3.52,15.3,53.85,1
3.91,15.3,59.87,1
2.89,10.19,29.46,1
3.38,12.39,41.81,1
0.1,0.61,0.06,0
3.56,13.87,49.33,1
0.56,2.7,1.52,1
3.7,14.44,53.51,1
3.47,13.19,45.76,1
0.1,0.5,0.05,1
0.11,0.73,0.08,0
0.13,1.98,0.26,1
3.05,12.42,37.94,1
3.09,12.16,37.53,1
3.52,14.2,49.96,1
1.25,4.46,5.59,0
3.35,12.32,41.29,1
2.76,9.89,27.27,1
0.79,2.9,2.29,1
1.05,3.65,3.84,1
2.48,10.4,25.81,1
0.22,0.5,0.11,0
3.33,12.03,40.12,0
1.03,5.46,5.62,1
2.84,10.45,29.72,1
0.1,0.5,0.05,0
0.1,0.74,0.07,0
0.97,2.77,2.69,0
3.55,14.49,51.51,1
0.14,1.04,0.14,0
1.66,7.54,12.48,1
2.49,8.9,22.12,1
0.1,0.5,0.05,0
2.67,10.16,27.08,1
2.89,11.19,32.33,1
4.02,14.11,56.7,1
0.76,2.96,2.24,1
3.45,11.95,41.2,0
3.55,13.79,48.98,1
0.27,0.5,0.13,1
1.43,3.97,5.69,1
3.0,12.05,36.12,1
1.01,3.41,3.45,1
4.58,16.6,75.98,1
3.21,13.22,42.45,0
0.13,0.76,0.1,1
1.63,6.89,11.24,1
1.02,3.74,3.81,1
3.45,15.25,52.58,0
0.81,2.59,2.09,1
0.48,3.24,1.57,1
3.09,11.68,36.08,1
4.52,15.84,71.56,1
4.0,15.59,62.4,0
2.09,8.17,17.05,1
0.79,2.14,1.68,0
1.2,3.84,4.63,1
1.23,4.64,5.7,1
0.16,0.88,0.14,0
1.38,3.27,4.52,0
1.02,4.7,4.78,0
5.33,19.86,105.85,0
3.5,12.23,42.78,1
1.72,7.29,12.53,0
6.63,25.18,166.94,1
2.59,10.8,27.94,0
0.1,0.73,0.07,0
2.75,10.44,28.67,1
3.25,12.23,39.78,1
0.96,4.03,3.87,1
3.16,11.67,36.84,1
2.52,8.9,22.42,0
1.38,5.73,7.92,0
4.41,16.65,73.47,0
2.03,7.75,15.74,1
0.1,1.25,0.13,0
0.24,0.84,0.2,1
1.11,4.22,4.68,1
2.56,9.24,23.65,1
4.36,16.9,73.66,0
3.29,12.76,41.94,1
0.93,4.27,3.99,1
0.85,2.78,2.37,0
2.56,9.36,23.93,1
0.97,4.33,4.21,0
1.65,6.47,10.67,0
1.02,3.14,3.19,0
3.41,14.0,47.75,1
3.78,13.01,49.22,1
2.81,11.3,31.71,1
4.68,16.77,78.44,1
3.26,13.89,45.28,1
3.34,11.46,38.3,1
1.48,6.56,9.73,1
1.22,4.55,5.53,1
3.8,14.13,53.64,1
3.04,11.71,35.62,1
0.41,2.06,0.84,1
0.1,0.5,0.05,1
0.75,2.2,1.65,0
3.45,13.64,47.1,1
3.38,11.48,38.82,1
3.5,12.82,44.86,1
4.54,19.69,89.45,1
3.32,11.82,39.2,1
1.05,4.91,5.16,0
3.69,13.56,50.02,1
0.3,1.56,0.47,1
0.1,0.9,0.09,1
7.2,28.26,203.41,0
0.26,0.83,0.22,0
3.13,13.48,42.15,1
3.26,11.92,38.9,1
0.1,0.57,0.06,1
1.78,6.95,12.37,1
1.45,4.62,6.71,1
4.24,15.9,67.47,0
3.74,14.34,53.64,1
3.34,12.36,41.3,1
3.24,14.26,46.21,1
0.1,0.5,0.05,0
3.64,14.77,53.74,1
4.2,16.66,70.0,1
0.99,3.74,3.7,1
4.64,16.93,78.51,1
0.3,0.51,0.15,0
2.75,10.05,27.68,1
0.75,1.42,1.06,1
0.1,0.5,0.05,0
2.59,8.65,22.38,0
2.92,12.18,35.61,0
4.06,15.93,64.7,1
0.1,1.01,0.1,0
0.1,0.85,0.09,0
1.15,4.49,5.14,0
2.94,12.33,36.24,0
4.33,15.96,69.11,1
3.63,13.88,50.36,0
1.03,4.53,4.68,0
0.1,0.5,0.05,1
0.97,6.15,5.94,1
4.67,17.76,82.9,1
1.0,3.9,3.88,1
2.55,10.69,27.25,1
3.05,12.33,37.62,1
0.54,2.09,1.13,0
0.1,0.5,0.05,0
3.13,10.68,33.42,1
3.51,12.88,45.19,0
3.43,13.44,46.09,1
1.19,4.88,5.8,1
3.6,14.66,52.78,1
3.89,14.69,57.2,1
0.81,1.96,1.58,0
2.23,9.32,20.77,0
0.62,3.52,2.19,0
3.16,12.71,40.11,1
2.69,10.09,27.15,0
4.08,16.34,66.64,1
1.04,6.7,6.99,1
0.22,0.93,0.21,1
1.03,2.87,2.96,0
3.89,14.3,55.59,0
0.38,1.95,0.75,0
2.86,9.6,27.51,1
3.94,15.12,59.6,0
0.1,0.68,0.07,0
0.75,4.08,3.07,1
0.1,1.43,0.14,1
4.19,16.6,69.5,1
0.5,0.5,0.25,0
0.1,1.12,0.11,0
3.31,13.15,43.58,1
0.8,3.25,2.6,0
2.59,8.45,21.85,1
3.69,13.4,49.42,1
2.71,9.35,25.29,1
4.7,16.25,76.4,1
1.17,4.46,5.24,1
1.26,4.14,5.22,1
3.44,15.17,52.15,1
2.7,10.12,27.3,1
3.99,16.2,64.63,0
1.6,4.81,7.67,1
0.46,1.33,0.61,0
3.44,13.13,45.11,1
3.05,10.88,33.22,1
3.9,14.48,56.48,1
0.58,2.05,1.2,0
4.18,15.69,65.54,1
0.1,1.86,0.19,0
3.91,15.17,59.39,1
0.37,1.78,0.65,1
0.25,1.37,0.34,0
0.84,3.67,3.07,0
0.68,2.5,1.69,1
3.28,12.21,40.05,1
0.45,1.84,0.83,0
4.27,17.15,73.22,0
0.88,4.23,3.71,0
0.29,0.91,0.27,0
3.57,14.18,50.61,1
3.47,13.02,45.17,1
0.1,0.5,0.05,0
0.88,2.96,2.59,0
0.99,3.63,3.6,1
2.64,11.1,29.27,1
3.85,14.71,56.67,1
2.92,11.19,32.65,1
1.48,4.46,6.6,1
5.18,19.45,100.85,0
0.61,2.13,1.3,0
2.93,10.48,30.72,1
1.11,4.23,4.7,0
0.73,2.45,1.8,1
1.09,4.21,4.6,0
0.95,3.69,3.49,0
1.76,5.92,10.43,1
3.0,11.1,33.35,1
0.78,3.02,2.34,1
1.02,4.84,4.95,0
2.47,9.58,23.61,1
0.1,0.5,0.05,1
0.9,3.73,3.35,0
3.52,14.74,51.85,1
3.08,12.42,38.22,1
3.46,13.58,46.94,1
3.74,14.79,55.3,0
0.53,3.18,1.7,1
3.14,12.79,40.14,1
0.73,3.22,2.35,0
0.11,1.27,0.14,0
3.31,11.73,38.85,1
0.1,0.5,0.05,1
0.41,1.69,0.7,0
3.64,13.88,50.52,1
1.2,4.13,4.97,1
1.19,5.19,6.2,1
2.67,8.64,23.04,1
4.01,14.79,59.26,0
3.26,12.01,39.21,1
0.14,0.5,0.07,0
0.65,3.67,2.38,0
0.61,1.23,0.75,0
1.71,6.02,10.27,0
2.86,11.59,33.15,1
0.52,2.51,1.32,1
0.8,2.15,1.71,1
3.76,14.82,55.64,1
0.1,0.61,0.06,1
0.1,2.25,0.22,0
0.1,0.7,0.07,0
0.11,0.5,0.05,1
1.22,3.96,4.83,1
0.1,0.5,0.05,0
2.3,8.09,18.63,0
3.65,14.96,54.55,1
3.07,11.7,35.95,0
0.1,0.83,0.08,0
0.43,2.85,1.22,1
3.52,11.49,40.44,1
3.5,14.32,50.1,1
1.47,5.65,8.32,1
0.76,3.24,2.47,1
0.96,2.98,2.86,1
0.67,1.94,1.3,0
3.14,12.31,38.6,1
1.16,6.31,7.31,1
0.1,1.18,0.12,0
1.17,5.48,6.44,1
1.18,4.34,5.14,0
2.93,10.63,31.11,1
4.6,16.87,77.64,1
0.84,2.8,2.35,1
4.75,16.4,77.89,0
0.1,0.5,0.05,0
1.26,4.34,5.46,0
0.1,0.5,0.05,1
0.72,2.84,2.05,1
4.25,16.43,69.81,1
3.22,12.23,39.39,1
2.62,9.48,24.79,1
0.95,2.05,1.95,1
5.34,19.85,106.07,0
1.02,3.11,3.19,1
1.53,6.2,9.49,1
3.48,13.96,48.65,1
0.68,3.35,2.29,1
0.57,2.78,1.59,0
0.39,1.36,0.52,1
3.92,14.49,56.81,1
3.23,11.69,37.79,1
3.26,11.18,36.42,1
0.59,3.03,1.79,1
2.72,10.19,27.68,1
3.57,12.57,44.9,1
4.03,14.67,59.18,1
1.07,3.38,3.63,1
4.06,15.47,62.82,1
1.11,5.08,5.65,1
0.68,2.29,1.54,0
3.39,11.09,37.65,0
3.19,11.96,38.15,1
0.1,0.5,0.05,0
0.1,0.5,0.05,1
3.88,14.23,55.15,1
3.84,14.76,56.67,1
0.1,0.5,0.05,0
2.05,7.78,15.96,0
2.79,10.94,30.55,1
0.58,1.84,1.06,0
2.97,10.91,32.45,1
0.73,3.87,2.82,1
1.18,4.93,5.81,1
0.41,2.23,0.92,0
0.46,2.71,1.24,1
3.41,13.37,45.54,0
3.51,14.06,49.31,1
3.18,10.83,34.48,1
4.48,17.17,76.87,1
2.94,11.04,32.48,1
0.56,3.48,1.96,0
2.02,8.42,17.0,1
0.1,0.5,0.05,0
3.72,14.44,53.75,0
1.53,5.95,9.12,0
1.13,4.66,5.28,1
1.44,4.66,6.71,1
3.83,14.85,56.9,1
3.79,14.21,53.81,0
2.91,11.29,32.89,1
0.58,1.63,0.95,0
0.4,1.05,0.42,1
4.19,16.87,70.74,0
0.14,0.5,0.07,1
0.69,1.85,1.29,0
4.22,16.0,67.5,0
0.1,0.5,0.05,0
0.39,0.79,0.31,0
4.56,17.43,79.55,1
1.03,2.71,2.79,1
3.42,12.19,41.69,1
0.1,2.02,0.2,1
1.25,5.13,6.43,1
0.52,1.37,0.71,1
0.5,2.22,1.1,0
3.27,12.86,42.01,1
1.93,8.14,15.72,0
1.09,4.06,4.44,1
3.79,15.17,57.47,1
1.0,2.17,2.17,0
2.93,10.28,30.1,1
3.05,11.7,35.63,0
3.63,14.04,50.91,1
4.02,14.54,58.42,1
2.92,11.31,33.04,1
2.82,10.21,28.75,1
0.69,2.39,1.65,0
1.03,4.73,4.87,0
0.85,3.97,3.39,0
0.38,0.65,0.25,0
0.19,0.5,0.1,1
0.92,3.16,2.91,0
1.52,5.75,8.73,1
0.1,0.5,0.05,0
2.99,12.21,36.58,1
0.11,0.71,0.08,0
0.43,1.97,0.86,0
6.71,24.5,164.46,1
1.25,5.7,7.15,1
3.93,12.67,49.8,1
3.73,14.84,55.38,1
0.1,1.13,0.11,1
0.1,0.5,0.05,0
3.44,14.08,48.38,1
1.37,5.15,7.04,0
2.94,11.23,33.06,1
0.1,0.65,0.07,0
4.04,17.91,72.44,1
1.88,8.2,15.38,1
5.66,22.07,124.94,1
1.14,3.59,4.09,1
0.55,2.22,1.23,1
1.07,3.41,3.64,0
0.27,1.69,0.46,0
0.74,2.92,2.16,0
0.73,1.89,1.38,0
3.01,11.49,34.54,1
3.69,13.33,49.13,1
0.44,1.81,0.8,0
4.98,18.23,90.75,1
3.65,13.9,50.79,1
3.58,14.19,50.76,1
3.92,14.84,58.16,1
4.9,18.32,89.81,1
1.36,5.33,7.24,1
0.53,2.58,1.38,0
0.51,1.05,0.53,1
1.23,4.89,6.03,1
3.12,12.92,40.36,1
1.5,6.15,9.21,1
5.24,19.97,104.69,0
0.16,1.13,0.18,1
0.51,2.31,1.18,0
3.23,12.86,41.5,1
0.17,0.5,0.08,1
0.1,0.5,0.05,0
3.45,13.91,47.96,1
3.41,11.75,40.04,1
1.67,6.65,11.07,1
0.68,2.29,1.55,1
4.44,16.07,71.3,1
3.25,12.63,41.04,1
1.38,5.41,7.47,1
0.61,4.01,2.46,0
0.56,1.63,0.92,1
0.54,3.22,1.75,0
3.22,12.54,40.42,1
0.92,2.97,2.74,1
3.53,14.04,49.54,1
3.58,14.05,50.31,1
3.04,11.58,35.19,1
3.95,15.24,60.23,0
2.87,10.43,29.93,1
3.63,13.13,47.62,1
0.1,0.99,0.1,1
3.23,12.08,38.98,1
0.95,3.55,3.37,1
1.88,7.35,13.8,0
1.77,6.95,12.33,0
2.93,9.98,29.23,1
3.9,15.86,61.89,1
2.57,9.87,25.36,1
0.1,0.5,0.05,0
3.33,12.98,43.18,1
0.1,0.57,0.06,1
1.14,4.95,5.65,0
0.88,3.79,3.35,0
4.15,16.33,67.75,1
2.92,12.19,35.66,1
0.1,1.09,0.11,0
4.55,17.16,78.05,0
5.96,21.75,129.63,0
0.76,4.22,3.21,1
1.54,5.66,8.7,1
0.22,0.5,0.11,0
2.54,8.26,20.98,1
0.77,3.21,2.48,1
0.48,1.95,0.94,0
0.7,1.44,1.0,0
3.05,11.97,36.54,1
3.44,12.68,43.62,0
0.1,2.53,0.25,1
2.28,8.2,18.67,1
3.12,11.5,35.84,1
3.9,14.11,54.98,1
3.29,13.51,44.42,1
0.98,3.44,3.38,1
1.33,4.47,5.93,1
0.98,4.29,4.2,1
4.01,14.12,56.59,1
3.68,14.49,53.35,1
1.18,5.9,6.96,1
0.13,0.96,0.13,1
3.96,15.57,61.74,1
1.98,8.21,16.21,1
0.48,3.19,1.53,1
1.67,7.32,12.22,0
3.88,15.11,58.69,0
5.13,20.21,103.62,0
3.5,12.6,44.1,1
1.43,6.05,8.63,1
1.14,3.51,3.99,1
3.04,11.25,34.2,0
2.97,8.83,26.23,1
0.1,0.7,0.07,1
2.97,10.77,31.97,1
2.18,9.17,20.0,1
0.1,0.69,0.07,1
3.45,14.03,48.45,1
0.16,0.5,0.08,1
0.17,1.48,0.25,0
1.16,6.1,7.1,0
0.78,3.58,2.79,1
4.0,15.83,63.28,1
3.54,13.57,48.01,1
1.4,4.91,6.87,1
3.5,13.91,48.71,1
1.26,3.59,4.53,1
1.21,4.27,5.17,0
0.88,1.94,1.71,1
2.33,8.3,19.37,1
3.05,12.11,36.94,1
3.18,12.48,39.64,1
3.05,11.63,35.46,1
